apno,aptype,issued,stname,city,state,zip,applicant,licno,lictype,fees,value,plans,sbl,landuse,inspector,expdate,descofwork,location_1,latitude,longitude,council_district,police_district,census,census_block_group,census_block,neighborhood
REP19-9491726,REPAIR,9/19/19,1556 HERTEL,BUFFALO,NY,14216,SAHLEM'S ROOFING & SIDING,HIC11-517650,HOME IMPROVEMENT CONTRACTOR,404,58890,0,7.866E+14,456,ANDREW BLERSCH,3/19/20,"ROOF OVER EXISTING SINGLE LAYER OF&nbsp;ROOF AS PER MANUFACTURERS INSTRUCTIONS AND SPECIFICATIONS 90MPH, 20YR WARRANTY,&nbsp;R-8.5 INSULATION, .060 TPO "" RHINO BOND MECHANICALLY ATTACHED ROOF SYSTEM, WALL FLASHING, 24GA.METAL COPING, OVER FLOW SCUPPERS FOR A COMMERCIAL BUILDING.","(42.94769344375904, -78.85046950283967)",42.94769344,-78.8504695,DELAWARE,District D,48,1,1003,UNKNOWN
REP19-9491681,REPAIR,9/19/19,222 WALLACE,BUFFALO,NY,14216,ANTHONY PETERS,LTC16-10038507,LIGHT COMMERCIAL CONTRACTOR,75,4200,0,7.867E+14,210,ANDREW BLERSCH,3/19/20,REMOVE EXISTING FRONT CONCRETE STAIRS AND REBUILD USING PRESSURE TREATED - REMOVE AND REPLACE FRONT PORCH FLOOR DECK - INSTALL NEW VINYL RAILINGS THROUGHOUT,"(42.94900872806123, -78.84680225884148)",42.94900873,-78.84680226,DELAWARE,District D,48,2,2001,UNKNOWN
REP19-9491652,REPAIR,9/18/19,289 TACOMA,BUFFALO,NY,14216,DENNIS MOSNER,,,150,300,0,7.856E+14,283,ANDREW BLERSCH,3/18/20,INSTALL 1 FRONT TOP REPLACEMENT WINDOWS AND 8 REPLACEMENT WINDOWS ON 1 FLOOR ( WORK BY OWNER ),"(42.951463575882116, -78.86196326442217)",42.95146358,-78.86196326,DELAWARE,District D,49,2,2006,UNKNOWN
REP19-9491608,REPAIR,9/18/19,63 MORRIS EAST,BUFFALO,NY,14214,IVY LEA CONSTRUCTION INC,LTC11-518238,LIGHT COMMERCIAL CONTRACTOR,50,3165,0,9.021E+14,220,ANDREW BLERSCH,3/18/20,Concrete Storage room in basement,"(42.940933510343015, -78.83406792831671)",42.94093351,-78.83406793,MASTEN,District E,45,2,2008,UNKNOWN
REP19-9491607,REPAIR,9/18/19,122 ADMIRAL,BUFFALO,NY,14216,IVY LEA CONSTRUCTION INC,LTC11-518238,LIGHT COMMERCIAL CONTRACTOR,50,8833,0,7.859E+14,210,ANDREW BLERSCH,3/18/20,Backyard  Stamped Patio,"(42.95099081741237, -78.8472107462384)",42.95099082,-78.84721075,DELAWARE,District D,48,3,3010,UNKNOWN
REP19-9491578,REPAIR,9/17/19,263 ST LAWRENCE,BUFFALO,NY,14216,STEVEN CULTRARA,LTC18-10043817,LIGHT COMMERCIAL CONTRACTOR,95,13200,0,7.84E+14,220,ANDREW BLERSCH,3/17/20,"Roof Tear-Off: Remove existing roofing materials and install OSB sheeting; 72"" ice and water shield; ODE Drip Edge and full synthetic roof wrap. Install Starter shingle and 30-year Architectural shingles. Install new pipe boots, step and counter flashing and full Louver Vent with matching cap. Full clean up and debris removal included.","(42.956123956246365, -78.85943658385106)",42.95612396,-78.85943658,DELAWARE,District D,51,2,2000,UNKNOWN
REP19-9491550,REPAIR,9/17/19,21 DELANEY,BUFFALO,NY,14216,TERRI SCHICKLING,,,75,2000,0,7.842E+14,220,ANDREW BLERSCH,3/17/20,Repair front half of roof with leaking deteriorated shingles. Remove 1old  layer and add new shingles .,"(42.95662509546275, -78.85306120680116)",42.9566251,-78.85306121,DELAWARE,District D,51,1,1007,UNKNOWN
REP19-9491539,REPAIR,9/17/19,21 DELANEY,BUFFALO,NY,14216,TERRI SCHICKLING,,,75,2000,0,7.842E+14,220,ANDREW BLERSCH,3/17/20,Replace front half of roof. Tear off 1 layer of shingles and replace with new shingles,"(42.95662509546275, -78.85306120680116)",42.9566251,-78.85306121,DELAWARE,District D,51,1,1007,UNKNOWN
REP19-9490451,REPAIR,9/13/19,59 DULUTH,BUFFALO,NY,14216,A TOP LEVEL CONSTRUCTION,LTC15-10032628,LIGHT COMMERCIAL CONTRACTOR,75,4500,0,7.842E+14,210,ANDREW BLERSCH,3/13/20,New roof,"(42.95753573656019, -78.85081648024168)",42.95753574,-78.85081648,DELAWARE,District D,51,1,1005,UNKNOWN
REP19-9490434,REPAIR,9/13/19,261 NORWALK,BUFFALO,NY,14216,"DALEX CONSTR. INC  (HIC, LTC)",LTC11-538569,LIGHT COMMERCIAL CONTRACTOR,75,8255,0,7.858E+14,210,ANDREW BLERSCH,3/13/20,Tear off and install new roof to upper main frame right side only.,"(42.951779542106465, -78.85431539902244)",42.95177954,-78.8543154,DELAWARE,District D,49,1,1000,UNKNOWN
REP19-9490433,REPAIR,9/13/19,52 TAUNTON,BUFFALO,NY,14216,"DALEX CONSTR. INC  (HIC, LTC)",LTC11-538569,LIGHT COMMERCIAL CONTRACTOR,80,10833,0,7.848E+14,210,ANDREW BLERSCH,3/13/20,Tear off and install new roof to entire house,"(42.954635438351964, -78.86245318240167)",42.95463544,-78.86245318,DELAWARE,District D,51,2,2004,UNKNOWN
REP19-9487340,REPAIR,9/11/19,745 TACOMA,BUFFALO,NY,14216,HOME DEPOT U.S.A. INC.,LTC12-10023782,LIGHT COMMERCIAL CONTRACTOR,75,5000,0,7.867E+14,220,ANDREW BLERSCH,3/11/20,replacement windows,"(42.94957358937763, -78.8455864701891)",42.94957359,-78.84558647,DELAWARE,District D,48,2,2000,UNKNOWN
REP19-9487336,REPAIR,9/11/19,253 WOODBRIDGE,BUFFALO,NY,14214,HOME DEPOT U.S.A. INC.,LTC12-10023782,LIGHT COMMERCIAL CONTRACTOR,75,3200,0,7.875E+14,210,ANDREW BLERSCH,3/11/20,replacement windows in kind,"(42.945060072248616, -78.84284019617456)",42.94506007,-78.8428402,DELAWARE,District D,45,5,5006,UNKNOWN
REP19-9487294,REPAIR,9/10/19,357 TAUNTON,BUFFALO,NY,14216,ALAN W EICHBERG,LTC18-10048122,LIGHT COMMERCIAL CONTRACTOR,75,7000,0,7.85E+14,210,ANDREW BLERSCH,3/10/20,REPLACE EXISTING DRIVEWAY AND APRON LIKE IN KIND SAME FOOTPRINT NO CHANGE IN SIZE. REPLACE SIDING &amp; TRIM THROUGHOUT AS PER CONTRACT AND ATTACHMENT FOR A SINGLE FAMILY DWELLING.,"(42.95445419088789, -78.8512422205925)",42.95445419,-78.85124222,DELAWARE,District D,48,3,3005,UNKNOWN
REP19-9487279,REPAIR,9/10/19,2 COMMONWEALTH,BUFFALO,NY,14216,P & D CONSTRUCTION   (HIM),HIC11-520040,HOME IMPROVEMENT CONTRACTOR,75,10000,0,7.872E+14,220,ANDREW BLERSCH,3/10/20,"REPAIRS AT GARAGE AT REAR OF 2-FAMILY DWELLING INCLUDING REMOVAL OF SIDING, NEW OSB SHEATHING, NEW SIDING, MISC. FACIA REPAIR &amp; GUTTERS.&nbsp;","(42.94467938358181, -78.8619324427174)",42.94467938,-78.86193244,DELAWARE,District D,49,4,4002,UNKNOWN
REP19-9487118,REPAIR,9/6/19,88 DEPEW EAST,BUFFALO,NY,14214,STEPHEN SCARFONE,LTC17-10039866,LIGHT COMMERCIAL CONTRACTOR,90,12866,0,9.021E+14,220,ANDREW BLERSCH,3/6/20,INSTALL VINYL SIDING TO A PORTION OF A 2 STORY 2 FAMILY FRAME DWELLING AS PER SCANNED CONTRACT.,"(42.94230935448538, -78.83328738154334)",42.94230935,-78.83328738,MASTEN,District E,45,2,2005,UNKNOWN
REP19-9487116,REPAIR,9/6/19,210 NORTH PARK,BUFFALO,NY,14216,MICHAEL FIVE STAR ROOFING CONSULTANTS,HIC11-556261,HOME IMPROVEMENT CONTRACTOR,110,16800,0,7.857E+14,220,ANDREW BLERSCH,3/6/20,Tear off and install new asphalt shingle roof,"(42.95036491879133, -78.8558948454968)",42.95036492,-78.85589485,DELAWARE,District D,49,2,2002,UNKNOWN
REP19-9487115,REPAIR,9/6/19,537 ST LAWRENCE,BUFFALO,NY,14216,MICHAEL FIVE STAR ROOFING CONSULTANTS,HIC11-556261,HOME IMPROVEMENT CONTRACTOR,75,4100,0,7.842E+14,210,ANDREW BLERSCH,3/6/20,Tear off and install new asphalt shingle from from chimney to approx 12' back of roof,"(42.95595638068473, -78.84942594022503)",42.95595638,-78.84942594,DELAWARE,District D,51,1,1013,UNKNOWN
REP19-9487114,REPAIR,9/6/19,92 DEPEW EAST,BUFFALO,NY,14214,STEPHEN SCARFONE,LTC17-10039866,LIGHT COMMERCIAL CONTRACTOR,105,15780,0,9.021E+14,220,ANDREW BLERSCH,3/6/20,TEAR OFF AND REROOF A 2 STORY 2 FAMILY FRAME DWELLING AS PER SCANNED CONTRACT.,"(42.94227161342319, -78.8332235871346)",42.94227161,-78.83322359,MASTEN,District E,45,2,2005,UNKNOWN
REP19-9487100,REPAIR,9/5/19,54 VILLA,BUFFALO,NY,14216,BLACK ROCK ROOFING,LTC11-564078,LIGHT COMMERCIAL CONTRACTOR,125,19500,0,7.839E+14,210,ANDREW BLERSCH,3/5/20,tear off re-roof,"(42.95803855555398, -78.86743850358278)",42.95803856,-78.8674385,DELAWARE,District D,51,3,3000,UNKNOWN
REP19-9486516,REPAIR,9/5/19,235 BEARD,BUFFALO,NY,14214,"DALEX CONSTR. INC  (HIC, LTC)",LTC11-538569,LIGHT COMMERCIAL CONTRACTOR,230,40449,0,7.977E+14,210,ANDREW BLERSCH,3/5/20,tear off and install new roof to all areas of house lower flat roofs. metal eyebrows not included.,"(42.94356308718986, -78.83635388679907)",42.94356309,-78.83635389,DELAWARE,District D,45,4,4008,UNKNOWN
FEND19-9487084,FENDRIVE,9/5/19,129 PARKSIDE CT,BUFFALO,NY,14214,PETER CICERO,,,150,3500,0,7.953E+14,411,ANDREW BLERSCH,3/5/20,REMOVE EXISTING DRIVEWAY AND REPLACE IN KIND WITH CONCRETE TO CODE ON SOUTH /&nbsp;RIGHT SIDE OF STRUCTURE TO CODE&nbsp;- SURVEY SCANNED,"(42.95116080935555, -78.83406536395538)",42.95116081,-78.83406536,UNIVERSITY,District D,45,1,1010,UNKNOWN
REP19-9486964,REPAIR,9/4/19,163 FRONTENAC,BUFFALO,NY,14216,AERIAL ROOFING & EXTERIOR INC.,LTC13-10025871,LIGHT COMMERCIAL CONTRACTOR,75,4800,0,7.85E+14,210,ANDREW BLERSCH,3/4/20,Garage only. remove roofing and install new low slope roofing to garage.,"(42.95267042751755, -78.85045539979053)",42.95267043,-78.8504554,DELAWARE,District D,48,3,3008,UNKNOWN
REP19-9486956,REPAIR,9/4/19,312 NORTH PARK,BUFFALO,NY,14216,RICHARD MATA,LTC17-10039405,LIGHT COMMERCIAL CONTRACTOR,75,7000,0,7.849E+14,220,ANDREW BLERSCH,3/4/20,Partial Roof Replacement,"(42.952757420566854, -78.85585731083499)",42.95275742,-78.85585731,DELAWARE,District D,49,1,1002,UNKNOWN
REP19-9486843,REPAIR,8/30/19,143 STERLING,BUFFALO,NY,14216,KAZ BROTHERS,HIC11-517613,HOME IMPROVEMENT CONTRACTOR,125,19511,0,7.866E+14,210,ANDREW BLERSCH,2/29/20,REMOVE EXISTING FRONT PORCH&nbsp;DECK AND REPLACE IN KIND - WITH NEW RAILINGS TO PORCH AND STAIRS,"(42.94867050796256, -78.8530016462259)",42.94867051,-78.85300165,DELAWARE,District D,48,1,1002,UNKNOWN
REP19-9486825,REPAIR,8/30/19,158 HUNTINGTON,BUFFALO,NY,14214,STEPHEN SCARFONE,LTC17-10039866,LIGHT COMMERCIAL CONTRACTOR,90,12975,0,7.876E+14,210,ANDREW BLERSCH,2/29/20,"tear off entire house, front porch is not included.","(42.94616835086407, -78.83821497828876)",42.94616835,-78.83821498,DELAWARE,District D,45,5,5008,UNKNOWN
REP19-9486768,REPAIR,8/28/19,157 ST LAWRENCE,BUFFALO,NY,14216,JOSEPH MANN,LTC19-10049927,LIGHT COMMERCIAL CONTRACTOR,75,4000,0,7.84E+14,210,ANDREW BLERSCH,2/28/20,Roof installation,"(42.95613230172806, -78.86139430083857)",42.9561323,-78.8613943,DELAWARE,District D,51,2,2000,UNKNOWN
REP19-9486716,REPAIR,8/27/19,295 HARTWELL,BUFFALO,NY,14216,AERIAL ROOFING & EXTERIOR INC.,LTC13-10025871,LIGHT COMMERCIAL CONTRACTOR,75,10000,0,7.855E+14,220,ANDREW BLERSCH,2/27/20,Remove existing vinyl siding and install new vinyl siding in place,"(42.95301714619417, -78.8667191398934)",42.95301715,-78.86671914,DELAWARE,District D,51,4,4001,UNKNOWN
REP19-9486701,REPAIR,8/27/19,237 NORTH DR,BUFFALO,NY,14216,BESROI CONSTRUCTION CORP. (HIM,HIC11-517059,HOME IMPROVEMENT CONTRACTOR,150,24244,0,7.851E+14,220,ANDREW BLERSCH,2/27/20,Tear off & reroof,"(42.953132511246366, -78.84895513244271)",42.95313251,-78.84895513,DELAWARE,District D,48,3,3004,UNKNOWN
REP19-9486673,REPAIR,8/27/19,63 ADMIRAL,BUFFALO,NY,14216,MR JOSEPH MCLAUGHLIN,,,75,2500,0,7.867E+14,210,ANDREW BLERSCH,2/27/20,Like for like replacement of 4 support columns and porch deck,"(42.94943892360509, -78.8478487227551)",42.94943892,-78.84784872,DELAWARE,District D,48,2,2001,UNKNOWN
REP19-9486574,REPAIR,8/25/19,10 COLTON,BUFFALO,NY,14216,EFC MANAGEMENT,LTC11-558534,LIGHT COMMERCIAL CONTRACTOR,75,6500,0,7.873E+14,210,ANDREW BLERSCH,2/25/20,tear off and replace,"(42.94591596621874, -78.85628518536973)",42.94591597,-78.85628519,DELAWARE,District D,49,3,3005,UNKNOWN
REP19-9486554,REPAIR,8/23/19,147 FRONTENAC,BUFFALO,NY,14216,BLACK ROCK ROOFING,LTC11-564078,LIGHT COMMERCIAL CONTRACTOR,125,19900,0,7.85E+14,210,ANDREW BLERSCH,2/23/20,Roof tearoff and replacement as per detailed spec sheet,"(42.95235473210507, -78.85042200576271)",42.95235473,-78.85042201,DELAWARE,District D,48,3,3008,UNKNOWN
REP19-9486552,REPAIR,8/23/19,25 DAKOTA,BUFFALO,NY,14216,CALOGERO CAMPANELLA,,,75,5500,0,7.871E+14,210,ANDREW BLERSCH,2/23/20,"Replace, like c&amp; in-kind, existing driveway.","(42.94672809160441, -78.8648448115364)",42.94672809,-78.86484481,DELAWARE,District D,49,5,5003,UNKNOWN
REP19-9486551,REPAIR,8/23/19,73 REDMOND,BUFFALO,NY,14216,SARAH BLACKENSHIP (BLANKENSHIP),,,150,5000,0,7.842E+14,220,ANDREW BLERSCH,2/23/20,INSTALL A METAL ROOF OVER 2 LAYERS OF ASPHALT SHINGLES -STATE VARIANCE AND ENGINEERS LETTER ATTACHED TO THE APPLICATION.&nbsp; ROOF TO BE INSTALLED ACCORDING TO MANUFACTURER'S SPEC.&nbsp;&nbsp;,"(42.95784715774583, -78.84853360631878)",42.95784716,-78.84853361,DELAWARE,District D,51,1,1003,UNKNOWN
REP19-9486541,REPAIR,8/23/19,2978 MAIN,BUFFALO,NY,14214,BLUE OX ROOFING,,,1058,167235,0,7.97E+14,710,ANDREW BLERSCH,2/23/20,TEAROFF AND EPDM REROOF AT WAREHOUSE (ROOF AND FLASHING&nbsp;ARE ACM)&nbsp;AND ADMIN. BUILDING (FLASHING IS ACM) AT MATERION.&nbsp; STOHL TO PROCEED ROOFING WITH ABATEMENT - ALL ABATEMENT TO BE COMPLIANT WITH CODE RULE 56 (CLEARANCE LETTERS TO BE SENT TO C.O.B.).&nbsp; BOTH BUILDINGS TO HAVE R-30 VALUE&nbsp;INSULATION.&nbsp; FIRESTONE CUT SHEETS AND INSULATION SPECS TO BE KEPT ON SITE FOR INSPECTOR.,"(42.94675595798853, -78.83098974993145)",42.94675596,-78.83098975,UNIVERSITY,District D,45,1,1013,UNKNOWN
REP19-9486515,REPAIR,8/23/19,65 WILLIAM PRICE PKWY,BUFFALO,NY,14214,"DALEX CONSTR. INC  (HIC, LTC)",LTC11-538569,LIGHT COMMERCIAL CONTRACTOR,105,15810,0,7.97E+14,210,ANDREW BLERSCH,2/23/20,tear off and replacement of entire house and all addition attached to the house and garage.,"(42.945494302327766, -78.82953140158068)",42.9454943,-78.8295314,UNIVERSITY,District E,45,2,2000,UNKNOWN
REP19-9486514,REPAIR,8/23/19,128 SHOSHONE,BUFFALO,NY,14214,"DALEX CONSTR. INC  (HIC, LTC)",LTC11-538569,LIGHT COMMERCIAL CONTRACTOR,125,19230,0,7.953E+14,220,ANDREW BLERSCH,2/23/20,"tear off and replacement on second story main frame, rear upper shingle addition and driveway side door overhang","(42.951014665708534, -78.83565761898758)",42.95101467,-78.83565762,UNIVERSITY,District D,45,3,3014,UNKNOWN
REP19-9486512,REPAIR,8/23/19,502 LINDEN AVE,BUFFALO,NY,14216,"DALEX CONSTR. INC  (HIC, LTC)",LTC11-538569,LIGHT COMMERCIAL CONTRACTOR,115,17368,0,7.88E+14,210,ANDREW BLERSCH,2/23/20,Tear off and install new roof to entire house and back porch garage not included.,"(42.94453638374427, -78.86151675242374)",42.94453638,-78.86151675,DELAWARE,District D,49,4,4004,UNKNOWN
REP19-9486473,REPAIR,8/23/19,377 LINDEN AVE,BUFFALO,NY,14216,IVY LEA CONSTRUCTION INC,LTC11-518238,LIGHT COMMERCIAL CONTRACTOR,170,28264,0,7.873E+14,220,ANDREW BLERSCH,2/23/20,Roofing whole house,"(42.944597108421725, -78.8567769353619)",42.94459711,-78.85677694,DELAWARE,District D,49,3,3005,UNKNOWN
REP19-9486468,REPAIR,8/22/19,104 TAUNTON,BUFFALO,NY,14216,104 TAUNTON LLC,,,75,650,0,7.848E+14,210,ANDREW BLERSCH,2/22/20,TEAR OFF / SHEATH / REROOF THE FRONT PORCH ON A SINGLE FAMILY DWELLING AS PER SCANNED OWNER AFFIDAVIT.,"(42.95467062812422, -78.86048229335125)",42.95467063,-78.86048229,DELAWARE,District D,51,2,2004,UNKNOWN
REP19-9486459,REPAIR,8/21/19,68 ROSEMARY,BUFFALO,NY,14216,STOCKMOHR COMPANY INC.,HIC11-517773,HOME IMPROVEMENT CONTRACTOR,75,9820,0,7.844E+14,210,ANDREW BLERSCH,2/21/20,"Roof and gutters for house and detached garage:  Remove 1 and 2 layers of shingles.  Install 2 courses of I&W shield on house, single on garage, synthetic felt, OC Duration shingles, 6 box vents, and new chimney and pipe flashings.  Clean up and haul away job related debris.","(42.9575888707894, -78.83950309394311)",42.95758887,-78.83950309,DELAWARE,District D,45,1,1001,UNKNOWN
REP19-9486454,REPAIR,8/21/19,189 SARANAC,BUFFALO,NY,14216,KIERAN MCGRATH,LTC18-10044276,LIGHT COMMERCIAL CONTRACTOR,75,6000,0,7.857E+14,210,ANDREW BLERSCH,2/21/20,INSTALL A NEW 20' W&nbsp;X 15' D &nbsp;DECK OFF REAR OF DWELLING PER SCANNED SK,"(42.951053541726985, -78.8572884253622)",42.95105354,-78.85728843,DELAWARE,District D,49,2,2002,UNKNOWN
REP19-9486421,REPAIR,8/21/19,63 COMMONWEALTH,BUFFALO,NY,14216,JOSEPH BELLA III,LTC17-10041579,LIGHT COMMERCIAL CONTRACTOR,75,3000,0,7.872E+14,220,ANDREW BLERSCH,2/21/20,"Tear off existing porch roof, install new porch roof using new GAF flat roof system.","(42.94636323529563, -78.86177731558868)",42.94636324,-78.86177732,DELAWARE,District D,49,4,4003,UNKNOWN
REP19-9486396,REPAIR,8/20/19,72 WOODBRIDGE,BUFFALO,NY,14214,LEO M CUDNEY,HIC11-518474,HOME IMPROVEMENT CONTRACTOR,80,10700,0,7.977E+14,210,ANDREW BLERSCH,2/20/20,"Remove roofing materials to plywood deck, Install water & ice shield, diamond deck felt, ode drip& rake edge, low omni ridge vent, Landmark architectual style shingles( Certainteed) and shadow ridge cap on front of house with dormers, garage front and back and attached roof area","(42.94489052230739, -78.83617610177546)",42.94489052,-78.8361761,DELAWARE,District D,45,4,4000,UNKNOWN
REP19-9486382,REPAIR,8/20/19,269 LINDEN AVE,BUFFALO,NY,14216,MOISEY TURKEVICH,LTC11-553950,LIGHT COMMERCIAL CONTRACTOR,75,8920,0,7.874E+14,210,ANDREW BLERSCH,2/20/20,"tear-off, re-roof, new plywood","(42.94454007104073, -78.85264271478884)",42.94454007,-78.85264271,DELAWARE,District D,48,1,1005,UNKNOWN
REP19-9486371,REPAIR,8/20/19,381 ST LAWRENCE,BUFFALO,NY,14216,RICHARD   GIGLIA,HIC11-517191,HOME IMPROVEMENT CONTRACTOR,75,2400,0,7.841E+14,220,ANDREW BLERSCH,2/20/20,TEAR OFF GARAGE ROOF - REPLACE ANY WOOD AS NEEDED AND INSTALL NEW ROOF TO CODE - INSTALL NEW FACIA BOARD AND GUTTERS WITH DOWNSPOUTS,"(42.95610845670901, -78.85542865627406)",42.95610846,-78.85542866,DELAWARE,District D,51,1,1012,UNKNOWN
